0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:50 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:50 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:09 +0530] "GET /mrusportshub/Match-entry.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:09 +0530] "GET /mrusportshub/images/footballbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:23 +0530] "POST /mrusportshub/matcheentry HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:26 +0530] "GET /mrusportshub/Match-entry.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:38 +0530] "POST /mrusportshub/matcheentry HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:41 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 10504847
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:42 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 10504847
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:42 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 10504847
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:43 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 10504847
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:57 +0530] "POST /mrusportshub/matcheentry HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [29/May/2024:19:57:03 +0530] "POST /mrusportshub/matcheentry HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [29/May/2024:19:57:05 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28145241
0:0:0:0:0:0:0:1 - - [29/May/2024:19:59:18 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28145281
0:0:0:0:0:0:0:1 - - [29/May/2024:20:01:27 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146720
0:0:0:0:0:0:0:1 - - [29/May/2024:20:04:42 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146865
0:0:0:0:0:0:0:1 - - [29/May/2024:20:06:52 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146865
0:0:0:0:0:0:0:1 - - [29/May/2024:20:06:53 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146865
0:0:0:0:0:0:0:1 - - [29/May/2024:20:06:54 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146865
0:0:0:0:0:0:0:1 - - [29/May/2024:20:07:22 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147182
0:0:0:0:0:0:0:1 - - [29/May/2024:20:07:45 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147180
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:16 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147212
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/mrulogo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/hockeybanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/cricketbanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/kabaddibanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/Volleyball%20banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/footballbanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28156761
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/cricket.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/vollyball.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/hockey.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/football.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:13:41 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28156767
0:0:0:0:0:0:0:1 - - [29/May/2024:20:13:41 +0530] "GET /mrusportshub/images/mru%20logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:15:02 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28159964
0:0:0:0:0:0:0:1 - - [29/May/2024:20:16:01 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28159958
0:0:0:0:0:0:0:1 - - [29/May/2024:20:16:14 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28159958
0:0:0:0:0:0:0:1 - - [29/May/2024:20:16:16 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28159958
0:0:0:0:0:0:0:1 - - [29/May/2024:20:16:28 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28159958
0:0:0:0:0:0:0:1 - - [29/May/2024:20:24:46 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28152322
0:0:0:0:0:0:0:1 - - [29/May/2024:20:26:16 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28159957
0:0:0:0:0:0:0:1 - - [29/May/2024:20:29:08 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147212
0:0:0:0:0:0:0:1 - - [29/May/2024:20:30:37 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28159948
0:0:0:0:0:0:0:1 - - [29/May/2024:20:30:52 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28159949
0:0:0:0:0:0:0:1 - - [29/May/2024:20:34:25 +0530] "GET /mrusportshub/adminindex.jsp HTTP/1.1" 200 28159949
0:0:0:0:0:0:0:1 - - [29/May/2024:20:34:29 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147291
0:0:0:0:0:0:0:1 - - [29/May/2024:20:35:07 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147326
0:0:0:0:0:0:0:1 - - [29/May/2024:20:36:45 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147327
0:0:0:0:0:0:0:1 - - [29/May/2024:20:37:01 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147326
0:0:0:0:0:0:0:1 - - [29/May/2024:20:37:18 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147328
0:0:0:0:0:0:0:1 - - [29/May/2024:20:37:32 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147326
0:0:0:0:0:0:0:1 - - [29/May/2024:20:37:58 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147325
0:0:0:0:0:0:0:1 - - [29/May/2024:20:38:12 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147326
0:0:0:0:0:0:0:1 - - [29/May/2024:20:39:03 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147198
0:0:0:0:0:0:0:1 - - [29/May/2024:20:40:16 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147198
0:0:0:0:0:0:0:1 - - [29/May/2024:20:40:45 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147196
0:0:0:0:0:0:0:1 - - [29/May/2024:20:40:53 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147198
0:0:0:0:0:0:0:1 - - [29/May/2024:20:47:05 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 500 3058
0:0:0:0:0:0:0:1 - - [29/May/2024:21:05:46 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147898
0:0:0:0:0:0:0:1 - - [29/May/2024:21:13:01 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147898
